player_id,player_name,date_of_birth,nationality,import_status,source_label,source_url,verified_at,notes
991904,Abbey McCulloch,1990-02-12,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Abbey_McCulloch,2026-04-17,
994723,Abby Erwood,,,,,,,
80051,Abby Sargent,1977-05-25,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Abby_Sargent,2026-04-17,
1004465,Abigail Latu-Meafou,1997-07-05,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Abigail_Latu-Meafou,2026-04-17,
80070,Adelaide Johnson,1986-10-08,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Adelaide_Johnson_(netball),2026-04-17,
80141,Adine Wilson,,,,,,,
1034261,Aimee Landrigan,,,,,,,
80602,Aisha Bower,,,,,,,
80302,Alanah Cassidy,,,,,,,
80004,Alex Clarke,,,,,,,
1007305,Alexia Baker,,,,,,,
994215,Alice Teague-Neeld,1996-03-02,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Alice_Teague-Neeld,2026-04-17,
1001715,Alison Miller,,,,,,,
80155,Alissa Castrisos,,,,,,,
1014127,Allie Smith,,,,,,,
80159,Althea Byfield,,,,,,,
80127,Ama Agbeze,,,,,,,
80032,Amber Ormond,,,,,,,
80573,Amehlia Schmidt,,,,,,,
80444,Ameliaranne Ekenasio,1991-01-11,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Ameliaranne_Ekenasio,2026-04-17,
80106,Amigene Metcalfe,,,,,,,
998973,Amorangi Malesala,,,,,,,
80303,Amy Christophers,,,,,,,
1001356,Amy Parmenter,1997-08-01,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Amy_Parmenter,2026-04-17,
1022764,Amy Sligar,,,,,,,
1001557,Amy Sommerville,,,,,,,
80180,Amy Steel,1989-04-07,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Amy_Steel_(netball),2026-04-17,
80157,Amy Wild,,,,,,,
80132,Andrea Gilmore,1988-10-27,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Andrea_Gilmore,2026-04-17,
80158,Angela Mitchell,,,,,,,
1009743,Angelina Frketic,,,,,,,
80053,Angelina Yates,,,,,,,
80495,Ann Helen Nu'uali'itia,,,,,,,
80292,Anna Galvan,,,,,,,
80192,Anna Harrison,,,,,,,
80028,Anna Thompson,,,,,,,
1019165,Annabelle Lawrie,,,,,,,
1022293,Annie Miller,,,,,,,
997815,Annika Lee Jones,1996-10-31,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Annika_Lee-Jones,2026-04-17,
80470,April Brandley,,,,,,,
80193,Arahi Wall,,,,,,,
994094,Ariana Cable-Dixon,,,,,,,
1025020,Ash Ervin,,,,,,,
1034270,Ashlee Barnett,,,,,,,
80046,Ashlee Howard,1988-03-02,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Ashlee_Howard,2026-04-17,
80153,Ashlee Mann,,,,,,,
1001703,Ashlee Unie,,,,,,,
80299,Ashleigh Brazill,1989-12-29,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Ashleigh_Brazill,2026-04-17,
80181,Ashleigh Neal,,,,,,,
80195,Ashleigh Smith,,,,,,,
1028098,Ava Black,,,,,,,
80198,Bailey Mes,,,,,,,
1034277,Baylee Boyd,,,,,,,
80068,Bec Bulley,,,,,,,
998400,Beryl Friday,1994-01-19,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Beryl_Friday,2026-04-17,
80024,Bessie Manu,,,,,,,
1006559,Beth Cobden,,,,,,,
80312,Beth Shimmin,1987-03-18,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Beth_Shimmin,2026-04-17,
80042,Bianca Chatfield,1982-04-02,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Bianca_Chatfield,2026-04-17,
80130,Bianca Giteau,1984-02-11,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Bianca_Giteau,2026-04-17,
80012,Bianca Reddy,1982-12-21,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Bianca_Reddy,2026-04-17,
1013082,Binnian Hunt,,,,,,,
1003785,Blaze Leslie,,,,,,,
80558,Bongiwe Msomi,,,,,,,
1016036,Bridey Condren,1999-01-01,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Bridey_Condren,2026-04-17,
80103,Brigette Tapene,,,,,,,
1016034,Brooke Allan,,,,,,,
80469,Brooke Leaver,,,,,,,
995216,Brooke Miller,,,,,,,
80174,Brooke Thompson,1984-04-27,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Brooke_Thompson,2026-04-17,
80113,Caitlin Bassett,,,,,,,
80497,Caitlin Riedstra,,,,,,,
80052,Caitlin Thwaites,,,,,,,
1029541,Caitlyn Brown,,,,,,,
992954,Caitlyn Nevins,1987-06-01,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Caitlyn_Nevins,2026-04-17,
80154,Camilla Lees,,,,,,,
80442,Candice Adams,,,,,,,
80040,Candyce Edwards,,,,,,,
1001357,Cara Koenen,1996-02-27,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Cara_Koenen,2026-04-17,
80295,Carla Borrego,1983-11-11,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Carla_Borrego,2026-04-17,
80179,Carla Dziwoki,1982-08-29,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Carla_Dziwoki,2026-04-17,
80016,Carrie Worthley,1983-01-10,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Carrie_Worthley,2026-04-17,
1001707,Casey Adamson,,,,,,,
80101,Casey Kopua,,,,,,,
80064,Catherine Cox,1976-05-24,Australia,,Wikipedia / Wikidata (Category:Australian netball players),https://en.wikipedia.org/wiki/Catherine_Cox_(netball),2026-04-17,
80054,Cathrine Tuivaiti,,,,,,,
80450,Chanel Gomes,,,,,,,
1004493,Charlee Hodges,,,,,,,
1028036,Charli Fidler,,,,,,,
1025019,Charlie Bell,,,,,,,
997432,Charlotte Elley,,,,,,,
80023,Charlotte Kight,,,,,,,
1034298,Charlotte Sexton,,,,,,,
1012933,Chelsea Blackman,,,,,,,
